8b18ff6e:00000000:000000000001295A     yfEarsTipHotspotControl
8b18ff6e:00000000:000000000001295D     ymEarsTipHotspotControl
8b18ff6e:00000000:000000000001295E     cuEarsTipHotspotControl
8b18ff6e:00000000:000000000002999a   alEyesSocket2HotspotControl
8b18ff6e:00000000:000000000002b6f0   acEarsBaseHotspotControl
8b18ff6e:00000000:000000000002b764   adEarsBaseRotateUpHotspotControl
8b18ff6e:00000000:000000000002b765   adEarsTipFlopUpHotspotControl
8b18ff6e:00000000:000000000002b767   adFaceShapeHotspotControl
8b18ff6e:00000000:000000000002b769   si_Missing_Pets_Sad_Autonomous
8b18ff6e:00000000:000000000002b76a   adEyesFocusHotspotControl
8b18ff6e:00000000:000000000002b7b0   acNoseBridgeCloneHotspotControl
8b18ff6e:00000000:000000000002b7c4   acEarsBaseRotateHotspotControl
8b18ff6e:00000000:000000000002b7df   petObstacleCourse_Goal_Failed
8b18ff6e:00000000:000000000002b7e0   situationGoalSet_FinishCourse
8b18ff6e:00000000:000000000002b7e6   alNoseBridgeCloneHotspotControl
8b18ff6e:00000000:000000000002b7e8   alEyesFocusHotspotControl
8b18ff6e:00000000:000000000002b81e   balloonCategory_WhatsWrongGetAttention_LowSocial_Cat
8b18ff6e:00000000:000000000002b820   alEarsTipFlopUpHotspotControl
8b18ff6e:00000000:000000000002b823   alFaceShapeHotspotControl
8b18ff6e:00000000:000000000002b863   acFaceShapeHotspotControl
8b18ff6e:00000000:000000000001ad89   adBodyHotspotControl
8b18ff6e:00000000:000000000001ae39   adHeadHotspotControl
8b18ff6e:00000000:00000000000252de   adBodyHotspotControl
8b18ff6e:00000000:00000000000252e1   alEyesSocketHotspotControl
8b18ff6e:00000000:00000000000252e2   alEyesScaleMacroHotspotControl
8b18ff6e:00000000:00000000000252fe   alBodyHotspotControl
8b18ff6e:00000000:00000000000252ff   alForelegsHotspotControl
8b18ff6e:00000000:0000000000025300   alHindlegsHotspotControl
8b18ff6e:00000000:0000000000024cee   acBodyHotspotControl
8b18ff6e:00000000:0000000000024cef   acHeadHotspotControl
8b18ff6e:00000000:0000000000022f52   adEyesScaleMacroHotspotControl
8b18ff6e:00000000:000000000002302b   adEyesSocketHotspotControl
8b18ff6e:00000000:000000000002310e   adNeckHotspotControl
8b18ff6e:00000000:00000000000231de   adEarsBaseDownHotspotControl
8b18ff6e:00000000:000000000002518f   alBodyHotspotControl
8b18ff6e:00000000:00000000000231df   adJowlHotspotControl
8b18ff6e:00000000:0000000000025190   alHeadHotspotControl
8b18ff6e:00000000:0000000000025dd6   adMuzzleHotspotControl
8b18ff6e:00000000:0000000000025ddb   adEyesRotateMacroHotspotControl
8b18ff6e:00000000:0000000000026fae   adForeLegHotspotControl
8b18ff6e:00000000:0000000000026faf   adHindLegHotspotControl
